Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
HSD17B13	SCDR9, SDR16C3	ENSG00000170509	Hydroxysteroid (17-beta) dehydrogenase 13	4	88224941-88244058	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA029125	Uncertain	Uncertain	Vesicles, Golgi apparatus	Tissue enriched	28	liver: 229.0	adipose tissue: 8.2
KRT76	HUMCYT2A, KRT2B, KRT2P	ENSG00000185069	Keratin 76	12	53161939-53171129	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA019656, HPA019696	Uncertain			Tissue enriched	28	tonsil: 2.8	skin: 0.1
NR2E1	TLL, TLX, XTLL	ENSG00000112333	Nuclear receptor subfamily 2, group E, member 1	6	108487262-108510013	Nuclear receptors, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA036954, HPA055642	Supportive	Supportive	Nucleus	Tissue enriched	28	cerebral cortex: 6.4	adrenal gland: 0.2
SIGLEC6	CD327, CD33L, CD33L1, OB-BP1, SIGLEC-6	ENSG00000105492	Sialic acid binding Ig-like lectin 6	19	52022779-52035110	CD markers, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA009084, HPA018198	Supportive			Tissue enriched	28	placenta: 143.4	tonsil: 5.1
SLC5A10	SGLT5	ENSG00000154025	Solute carrier family 5 (sodium/sugar cotransporter), member 10	17	18853658-18925908	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052014	Uncertain			Tissue enriched	28	kidney: 48.5	bone marrow: 1.8
SYNGR4		ENSG00000105467	Synaptogyrin 4	19	48867652-48879633	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA030075, HPA059286	Uncertain			Tissue enriched	28	testis: 29.7	cerebral cortex: 1.1
C15orf43	MGC33951	ENSG00000167014	Chromosome 15 open reading frame 43	15	45248900-45271427	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041780, HPA041941	Uncertain	Uncertain	Nucleus, Nucleoli, Centrosome	Tissue enriched	27	testis: 25.8	liver: 1.0
CCDC169	C13orf38, LOC728591, RP11-251J8.1	ENSG00000242715	Coiled-coil domain containing 169	13	36801182-36871977		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	27	testis: 82.5	prostate: 3.1
CTD-2116N17.1		ENSG00000259316	Uncharacterized protein 	15	64472547-64665980		Evidence at transcript level	Evidence at transcript level			HPA018209	Uncertain			Tissue enriched	27	testis: 15.3	lymph node: 0.6
FABP6	I-15P, I-BABP, I-BALB, I-BAP, ILBP, ILBP3, ILLBP	ENSG00000170231	Fatty acid binding protein 6, ileal	5	159614374-159665742	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012601, CAB024713	Supportive			Tissue enriched	27	small intestine: 1394.9	fallopian tube: 51.4
FAM194A	C3orf44, MGC39662	ENSG00000163645	Family with sequence similarity 194, member A	3	150377672-150421758		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA048373	Supportive			Tissue enriched	27	testis: 26.1	kidney: 1.0
G6PC2	IGRP	ENSG00000152254	Glucose-6-phosphatase, catalytic, 2	2	169757750-169766505	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	27	pancreas: 25.5	testis: 0.9
HBG2		ENSG00000196565	Hemoglobin, gamma G	11	5274420-5667019	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016143, HPA043234	Uncertain			Tissue enriched	27	placenta: 2808.2	bone marrow: 104.2
HIGD2B	HIGD2BP	ENSG00000175202	HIG1 hypoxia inducible domain family, member 2B	15	72968124-72978490	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	No evidence		HPA019016, HPA042715	Uncertain	Uncertain	Cytoplasm	Tissue enriched	27	testis: 2.7	thyroid gland: 0.1
MAT1A	MAT, MATA1, SAMS, SAMS1	ENSG00000151224	Methionine adenosyltransferase I, alpha	10	82031576-82049440	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048627	Supportive			Tissue enriched	27	liver: 505.8	pancreas: 18.8
OLIG1	BHLHB6, bHLHe21	ENSG00000184221	Oligodendrocyte transcription factor 1	21	34442450-34444726	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	27	cerebral cortex: 64.8	kidney: 2.4
PSD2	DKFZp761B0514	ENSG00000146005	Pleckstrin and Sec7 domain containing 2	5	139175406-139224051	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA050416, HPA054625	Uncertain			Tissue enriched	27	cerebral cortex: 30.7	salivary gland: 1.1
PYGM		ENSG00000068976	Phosphorylase, glycogen, muscle	11	64513861-64527769	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA056003	Supportive			Tissue enriched	27	skeletal muscle: 2023.0	esophagus: 75.0
RPL10L		ENSG00000165496	Ribosomal protein L10-like	14	47120222-47121028	Protein evidence (Kim et al 2014), Ribosomal proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011311	Uncertain	Uncertain	Cytoplasm	Tissue enriched	27	testis: 62.6	rectum: 2.3
SLITRK1	KIAA1910, LRRC12	ENSG00000178235	SLIT and NTRK-like family, member 1	13	84451344-84456528	Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA012414	Uncertain			Tissue enriched	27	cerebral cortex: 13.6	pancreas: 0.5
SMIM21	C18orf62	ENSG00000206026	Small integral membrane protein 21	18	73121431-73139658	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA041686	Supportive			Tissue enriched	27	testis: 2.7	adipose tissue: 0.0
ART1	ART2, CD296	ENSG00000129744	ADP-ribosyltransferase 1	11	3666358-3685646	CD markers, Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA051148	Uncertain			Tissue enriched	26	skeletal muscle: 27.0	lung: 1.1
C16orf96		ENSG00000205832	Chromosome 16 open reading frame 96	16	4606491-4650715	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	No evidence	Evidence at protein level	HPA042009, HPA042058	Uncertain	Uncertain	Cytoplasm	Tissue enriched	26	testis: 6.6	cerebral cortex: 0.3
CPB2	CPU, PCPB, TAFI	ENSG00000080618	Carboxypeptidase B2 (plasma)	13	46627321-46679211	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004146	Uncertain			Tissue enriched	26	liver: 505.4	lung: 19.4
GABRA5		ENSG00000186297	Gamma-aminobutyric acid (GABA) A receptor, alpha 5	15	27111510-27194354	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	26	cerebral cortex: 46.9	esophagus: 1.8
GAGE1	CT4.1	ENSG00000205777	G antigen 1	X	49363628-49373139		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA043232	Uncertain			Tissue enriched	26	testis: 9.4	stomach: 0.4
GCM1	GCMA, hGCMa	ENSG00000137270	Glial cells missing homolog 1 (Drosophila)	6	52991762-53013627	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA011343	Uncertain			Tissue enriched	26	placenta: 26.6	kidney: 1.0
GRIN1	GluN1, NMDAR1	ENSG00000176884	Glutamate receptor, ionotropic, N-methyl D-aspartate 1	9	140032842-140063207	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), RAS pathway related proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB006831	Uncertain			Tissue enriched	26	cerebral cortex: 103.2	salivary gland: 4.0
HSD17B1	EDH17B2, EDHB17, HSD17, MGC138140, SDR28C1	ENSG00000108786	Hydroxysteroid (17-beta) dehydrogenase 1	17	40701232-40707231	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021032, HPA065296	Supportive	Supportive	Cytoplasm, Nucleus but not nucleoli, Nuclear membrane	Tissue enriched	26	placenta: 72.3	adipose tissue: 2.7
KCNF1	IK8, KCNF, kH1, Kv5.1	ENSG00000162975	Potassium voltage-gated channel, subfamily F, member 1	2	11052063-11054350	Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB004678, HPA014738	Supportive	Uncertain	Golgi apparatus	Tissue enriched	26	cerebral cortex: 17.5	endometrium: 0.7
LCE3A	LEP13	ENSG00000185962	Late cornified envelope 3A	1	152595310-152595579		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	26	tonsil: 40.9	skin: 1.5
MASP2	MASP1P1	ENSG00000009724	Mannan-binding lectin serine peptidase 2	1	11086580-11107290	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA029313, HPA029314	Uncertain	Supportive	Golgi apparatus, Nucleus but not nucleoli	Tissue enriched	26	liver: 83.3	bone marrow: 3.2
MEPE		ENSG00000152595	Matrix extracellular phosphoglycoprotein	4	88742563-88767969	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038003, HPA038004	Uncertain			Tissue enriched	26	cerebral cortex: 4.0	placenta: 0.2
NOTUM		ENSG00000185269	Notum pectinacetylesterase homolog (Drosophila)	17	79910388-79919716	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA023041, HPA053024	Uncertain			Tissue enriched	26	placenta: 100.4	skeletal muscle: 3.9
ROPN1	CT91, ODF6, ROPN1A, ropporin	ENSG00000065371	Rhophilin associated tail protein 1	3	123687368-123711025	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB014875, HPA052530	Supportive			Tissue enriched	26	testis: 139.7	salivary gland: 5.3
RPGRIP1	CORD13, LCA6, RGI1, RPGRIP	ENSG00000092200	Retinitis pigmentosa GTPase regulator interacting protein 1	14	21756098-21819460	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA042955	Uncertain			Tissue enriched	26	testis: 48.4	spleen: 1.9
SPANXN3	CT11.8, SPANX-N3	ENSG00000189252	SPANX family, member N3	X	142596564-142605303	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	26	testis: 30.1	duodenum: 1.1
UCP3	SLC25A9	ENSG00000175564	Uncoupling protein 3 (mitochondrial, proton carrier)	11	73711326-73720480	Disease related genes, Mitochondrial proteins, Potential drug targets, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB010771	Uncertain			Tissue enriched	26	skeletal muscle: 84.1	testis: 3.2
ZC2HC1B	C6orf94, dJ468K18.5, FAM164B	ENSG00000118491	Zinc finger, C2HC-type containing 1B	6	144185573-144259483	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA026482, HPA028265	Uncertain			Tissue enriched	26	testis: 14.8	lymph node: 0.6
AADACL2	MGC72001	ENSG00000197953	Arylacetamide deacetylase-like 2	3	151451704-151479127	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	25	skin: 46.1	tonsil: 1.9
AL133481.1		ENSG00000235705	Uncharacterized protein 	10	81266126-81270678		Evidence at transcript level	Evidence at transcript level							Tissue enriched	25	testis: 5.8	cerebral cortex: 0.2
ALB		ENSG00000163631	Albumin	4	74262831-74287129	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006262, HPA031024, HPA031025	Supportive			Tissue enriched	25	liver: 16904.3	pancreas: 670.9
C20orf187	dJ727I10.1	ENSG00000125899	Chromosome 20 open reading frame 187	20	11008408-11010014		Evidence at transcript level	Evidence at transcript level	No evidence		HPA042673	Uncertain			Tissue enriched	25	testis: 3.9	skin: 0.2
C5orf52		ENSG00000187658	Chromosome 5 open reading frame 52	5	157098561-157107151		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA047490	Uncertain			Tissue enriched	25	testis: 17.0	fallopian tube: 0.7
GAP43	B-50, PP46	ENSG00000172020	Growth associated protein 43	3	115342171-115440337	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004417, HPA013392, HPA015600	Supportive			Tissue enriched	25	cerebral cortex: 173.4	appendix: 6.9
GPM6B	M6B, MGC17150, MGC54284	ENSG00000046653	Glycoprotein M6B	X	13789150-13956757	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002913	Supportive			Tissue enriched	25	cerebral cortex: 433.7	prostate: 17.6
GUCA1A	C6orf131, COD3, CORD14, dJ139D8.6, GCAP, GCAP1, GUCA, GUCA1	ENSG00000048545	Guanylate cyclase activator 1A (retina)	6	42123144-42147794	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA005561		Uncertain	Plasma membrane	Tissue enriched	25	testis: 23.0	cerebral cortex: 0.9
KCNV1	Kv8.1	ENSG00000164794	Potassium channel, subfamily V, member 1	8	110975874-110988076	Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	25	cerebral cortex: 13.3	colon: 0.5
LIPF	HGL, HLAL	ENSG00000182333	Lipase, gastric	10	90424198-90438571	Enzymes, FDA approved drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA045930	Supportive			Tissue enriched	25	stomach: 5409.9	duodenum: 213.9
MAGEB10	FLJ32965	ENSG00000177689	Melanoma antigen family B, 10	X	27826107-27841131	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA000611	Uncertain			Tissue enriched	25	testis: 2.5	adipose tissue: 0.0
MS4A13		ENSG00000204979	Membrane-spanning 4-domains, subfamily A, member 13	11	60282886-60310194	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045017, HPA063626	Uncertain			Tissue enriched	25	testis: 2.5	adipose tissue: 0.0
NANOS2	NOS2	ENSG00000188425	Nanos homolog 2 (Drosophila)	19	46416475-46418036		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA014190	Uncertain			Tissue enriched	25	testis: 2.5	adipose tissue: 0.0
RBMY1E		ENSG00000242389	RNA binding motif protein, Y-linked, family 1, member E	Y	24026223-24064214		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA001534, HPA053147	Supportive			Tissue enriched	25	testis: 2.5	adipose tissue: 0.0
RYR1	CCO, MHS, MHS1, RYR	ENSG00000196218	Ryanodine receptor 1 (skeletal)	19	38924339-39078204	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA056416	Supportive			Tissue enriched	25	skeletal muscle: 461.1	esophagus: 18.1
SLC22A24	MGC34821, NET46	ENSG00000197658	Solute carrier family 22, member 24	11	62847412-62911693	Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045015	Uncertain			Tissue enriched	25	kidney: 2.5	liver: 0.1
SLC6A16	NTT5	ENSG00000063127	Solute carrier family 6, member 16	19	49792895-49828482	Predicted membrane proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA049128	Uncertain			Tissue enriched	25	testis: 79.9	ovary: 3.2
SLC9B1	NHA1, NHEDC1	ENSG00000164037	Solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1	4	103806205-103940896	Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA035435	Uncertain			Tissue enriched	25	testis: 39.8	lymph node: 1.6
SPATA31A4	FAM75A4	ENSG00000234214	SPATA31 subfamily A, member 4	9	41321107-41327364	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	No evidence						Tissue enriched	25	testis: 2.5	adipose tissue: 0.0
TNR		ENSG00000116147	Tenascin R	1	175284330-175712906	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022343, HPA027134, HPA027150, HPA029859	Supportive	Supportive	Nucleus but not nucleoli	Tissue enriched	25	cerebral cortex: 39.2	adrenal gland: 1.6
TULP2	CT65, TUBL2	ENSG00000104804	Tubby like protein 2	19	49384222-49401990		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA046256	Uncertain			Tissue enriched	25	testis: 23.2	spleen: 0.9
AC006455.1		ENSG00000230000		7	62809239-62812151		Evidence at transcript level	Evidence at transcript level							Tissue enriched	24	testis: 2.4	adipose tissue: 0.0
ATXN3L	MJDL	ENSG00000123594	Ataxin 3-like	X	13336770-13338518	Enzymes	Evidence at protein level	Evidence at protein level	No evidence		HPA024123, HPA027539	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	24	testis: 2.9	placenta: 0.1
C11orf42	MGC34805	ENSG00000180878	Chromosome 11 open reading frame 42	11	6226796-6232362		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA063404	Supportive			Tissue enriched	24	testis: 10.7	skin: 0.4
C1orf61	CROC4	ENSG00000125462	Chromosome 1 open reading frame 61	1	156374042-156400493		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027989	Uncertain			Tissue enriched	24	cerebral cortex: 486.3	testis: 20.7
CGA	FSHA, GPHa, GPHA1, HCG, LHA, TSHA	ENSG00000135346	Glycoprotein hormones, alpha polypeptide	6	87795216-87804824	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB023350, HPA029698	Supportive			Tissue enriched	24	placenta: 1125.8	stomach: 47.1
CST1		ENSG00000170373	Cystatin SN	20	23728190-23731905	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026769, HPA043706, HPA044763	Supportive			Tissue enriched	24	salivary gland: 9081.5	gallbladder: 384.9
CTD-2528L19.4		ENSG00000267552	Uncharacterized protein 	19	38180766-38210089		Evidence at transcript level	Evidence at transcript level			HPA055018	Uncertain			Tissue enriched	24	testis: 2.4	thyroid gland: 0.1
DNASE2B	DLAD	ENSG00000137976	Deoxyribonuclease II beta	1	84864215-84880701	Enzymes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	24	salivary gland: 115.1	prostate: 4.8
DPEP3		ENSG00000141096	Dipeptidase 3	16	68009566-68014732	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA031870, HPA058607	Supportive			Tissue enriched	24	testis: 34.4	spleen: 1.4
FXYD4	CHIF	ENSG00000150201	FXYD domain containing ion transport regulator 4	10	43867090-43871783	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA014839	Uncertain			Tissue enriched	24	kidney: 111.1	salivary gland: 4.7
GAGE2E	GAGE8	ENSG00000205775	G antigen 2E	X	49197607-49204923		Evidence at transcript level	Evidence at transcript level	No evidence		HPA043232	Uncertain			Tissue enriched	24	testis: 15.4	stomach: 0.6
IGFL1	UNQ644	ENSG00000188293	IGF-like family member 1	19	46733009-46734500	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA014001	Uncertain			Tissue enriched	24	esophagus: 71.3	tonsil: 3.0
LRRC52	FLJ25811	ENSG00000162763	Leucine rich repeat containing 52	1	165513244-165533198	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA054100	Uncertain			Tissue enriched	24	testis: 9.8	kidney: 0.4
MAEL	CT128, FLJ14904, SPATA35	ENSG00000143194	Maelstrom spermatogenic transposon silencer	1	166958346-166991451	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028232, HPA031140	Uncertain			Tissue enriched	24	testis: 125.7	placenta: 5.2
MMP10	STMY2	ENSG00000166670	Matrix metallopeptidase 10 (stromelysin 2)	11	102641234-102651359	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002159	Uncertain	Supportive	Plasma membrane, Cytoplasm	Tissue enriched	24	endometrium: 199.7	appendix: 8.2
PP2D1	C3orf48, FLJ25449	ENSG00000183977	Protein phosphatase 2C-like domain containing 1	3	20021453-20053822		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA036869, HPA036870	Uncertain	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Intermediate filaments)	Tissue enriched	24	testis: 18.3	bone marrow: 0.8
RAG2		ENSG00000175097	Recombination activating gene 2	11	36597124-36619829	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB070430	Uncertain			Tissue enriched	24	thyroid gland: 35.2	testis: 1.5
RHD	CD240D, DIIIc, RH, Rh30a, Rh4, RhII, RhPI	ENSG00000187010	Rh blood group, D antigen	1	25598884-25656936	Blood group antigen proteins, CD markers, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	24	bone marrow: 21.6	placenta: 0.9
SLC6A5	GLYT2, NET1	ENSG00000165970	Solute carrier family 6 (neurotransmitter transporter), member 5	11	20620946-20680831	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA039476	Uncertain			Tissue enriched	24	testis: 2.4	cerebral cortex: 0.1
SPINK2	HUSI-II	ENSG00000128040	Serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	4	57676026-57687908	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB020824, HPA026813	Supportive			Tissue enriched	24	testis: 226.6	bone marrow: 9.3
SSX4	CT5.4	ENSG00000204645	Synovial sarcoma, X breakpoint 4	X	48242863-48252785	Cancer-related genes	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045683	Uncertain			Tissue enriched	24	testis: 2.4	thyroid gland: 0.1
SSX4B	OTTHUMT00000056510	ENSG00000198946	Synovial sarcoma, X breakpoint 4B	X	48261524-48271344	Cancer-related genes	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045683	Uncertain			Tissue enriched	24	testis: 2.4	thyroid gland: 0.1
ANG	RNASE5	ENSG00000214274	Angiogenin, ribonuclease, RNase A family, 5	14	21152336-21167130	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	23	liver: 1180.3	stomach: 52.4
BOLL	BOULE	ENSG00000152430	Boule-like RNA-binding protein	2	198591603-198651486		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA018678, HPA048813	Supportive			Tissue enriched	23	testis: 58.3	skeletal muscle: 2.6
C20orf62	dJ1013A22.3	ENSG00000168746	Chromosome 20 open reading frame 62	20	43080624-43093984		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA041142	Uncertain			Tissue enriched	23	testis: 2.3	skin: 0.1
C7orf72		ENSG00000164500	Chromosome 7 open reading frame 72	7	50135632-50199426		Evidence at transcript level	Evidence at transcript level	No evidence		HPA026094	Uncertain			Tissue enriched	23	testis: 2.3	tonsil: 0.1
CSTL1	CTES1, dJ322G13.4	ENSG00000125823	Cystatin-like 1	20	23420322-23425567	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	23	testis: 5.0	prostate: 0.2
CYP17A1	CPT7, CYP17, P450C17, S17AH	ENSG00000148795	Cytochrome P450, family 17, subfamily A, polypeptide 1	10	104590288-104597290	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA048533	Supportive			Tissue enriched	23	adrenal gland: 2253.9	testis: 100.0
CYP26A1	CP26, CYP26, P450RAI, P450RAI1	ENSG00000095596	Cytochrome P450, family 26, subfamily A, polypeptide 1	10	94833232-94837647	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	23	liver: 28.6	placenta: 1.2
